popup,count,lat,lng
Staples Center,17,34.0430,-118.2673
Shrine Auditorium,15,34.0235,-118.2813
Radio City Music Hall,6,40.7600,-73.9800
Hollywood Palladium,4,34.0986,-118.3243
Madison Square Garden,3,40.7505,-73.9934
Tennessee Theatre,1,35.9642,-83.9175
